locality,zip_code
Aalst,9450
Aalst,9500
Aalst,9300
Aalst,9620
Aalst,9550
Aalst,9308
Aalst,9340
Aalst,9420
Aalst,9470
Aalst,9320
Aalst,9520
Aalst,9402
Aalst,9310
Aalst,9400
Aalst,9506
Aalst,9451
Aalst,9473
Aalst,9401
Aalst,9403
Aalst,9552
Aalst,9404
Aalst,9472
Aalst,9406
Aalst,9551
Aalst,9521
Antwerp,2050
Antwerp,2100
Antwerp,2000
Antwerp,2150
Antwerp,2180
Antwerp,2660
Antwerp,2600
Antwerp,2520
Antwerp,2620
Antwerp,2640
Antwerp,2170
Antwerp,2610
Antwerp,2060
Antwerp,2020
Antwerp,2240
Antwerp,2920
Antwerp,2390
Antwerp,2540
Antwerp,2070
Antwerp,2530
Antwerp,2980
Antwerp,2990
Antwerp,2160
Antwerp,2900
Antwerp,2650
Antwerp,2550
Antwerp,2140
Antwerp,2018
Antwerp,2040
Antwerp,2243
Antwerp,2630
Antwerp,2242
Antwerp,2845
Antwerp,2840
Antwerp,2940
Antwerp,2627
Antwerp,2110
Antwerp,2930
Antwerp,2970
Antwerp,2960
Antwerp,2910
Antwerp,2950
Antwerp,2547
Antwerp,2850
Antwerp,2531
Antwerp,2030
Arlon,6700
Arlon,6791
Arlon,6792
Arlon,6780
Arlon,6717
Arlon,6790
Arlon,6782
Arlon,6781
Arlon,6704
Arlon,6630
Ath,7800
Ath,7801
Ath,7804
Ath,7822
Ath,7911
Ath,7971
Ath,7811
Ath,7890
Ath,7810
Ath,7940
Ath,7973
Ath,7802
Ath,7950
Ath,7812
Ath,7970
Ath,7972
Ath,7912
Ath,7910
Ath,7823
Ath,7321
Ath,7322
Ath,7943
Ath,7880
Ath,7320
Ath,7951
Ath,7803
Ath,7942
Bastogne,6637
Bastogne,6640
Bastogne,6688
Bastogne,6660
Bastogne,6600
Bastogne,6666
Bastogne,6690
Bastogne,6698
Bastogne,6662
Bastogne,6670
Bastogne,6661
Bastogne,6672
Bastogne,6680
Bastogne,6642
Bastogne,6692
Bastogne,6687
Bastogne,6671
Bastogne,6686
Bastogne,6673
Bastogne,6674
Brugge,8300
Brugge,8000
Brugge,8370
Brugge,8301
Brugge,8310
Brugge,8340
Brugge,8200
Brugge,8020
Brugge,8210
Brugge,8380
Brugge,8211
Brugge,8377
Brugge,8490
Brugge,8730
Brugge,8820
Brussels,1070
